objectid;fid;code_insee;reg;dep;cv;ze2010;libgeo;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p
8000;7999;2120;22;2;204;2206;Brenelle;197;181;43;25;43;46;31;11;37;26;40;46;24;9
8041;8040;2010;22;2;232;2206;Allemant;178;164;49;31;32;42;22;1;42;31;37;37;12;5
8141;8140;2235;22;2;212;2204;Craonnelle;109;100;20;21;23;21;17;9;27;13;27;16;11;7
8273;8272;2375;22;2;222;2201;Hautevesnes;159;124;31;31;38;33;15;10;27;21;27;28;12;10
8280;8279;2175;22;2;231;2206;Chavigny;146;154;25;18;26;41;23;12;30;27;34;35;20;8
8428;8427;2632;22;2;211;2206;Quincy-Basse;58;52;12;9;10;15;4;8;13;4;12;14;4;5
8602;8601;2191;22;2;238;2204;Chivy-lès-Étouvelles;504;487;87;97;91;122;81;26;90;82;114;131;54;16
8776;8775;2306;22;2;225;2204;La Ferté-Chevresis;591;589;117;102;118;121;78;55;107;110;119;123;83;47
8965;8964;2558;22;2;223;2203;Le Nouvion-en-Thiérache;2804;2850;525;502;461;584;392;340;564;522;547;545;391;281
9078;9077;2361;22;2;216;2203;Guise;5173;5532;966;987;820;1017;734;649;1074;1047;960;1114;713;624
9172;9171;2463;22;2;227;2204;Marfontaine;81;95;17;7;17;20;13;7;22;19;17;23;7;7
9204;9203;2041;22;2;209;2202;Autreville;824;820;157;114;155;184;145;71;160;125;170;192;109;64
9332;9331;2246;22;2;229;2205;Cugny;578;546;119;85;126;133;80;35;96;107;114;139;56;34
9400;9399;2173;22;2;209;2202;Chauny;11771;12653;2062;2305;2043;2467;1651;1243;2338;2558;2348;2475;1712;1224
9409;9408;2269;22;2;223;2203;Dorengt;156;149;33;21;39;28;23;12;37;19;37;29;21;8
9649;9648;2391;22;2;202;2203;Jeantes;221;215;30;36;33;58;34;30;29;33;30;59;36;28
9703;9702;2785;22;2;233;2205;Vermand;1047;1044;204;126;204;231;185;96;200;159;201;234;168;82
9789;9788;2128;22;2;238;2204;Bruyères-et-Montbérault;1572;1579;280;261;289;355;239;147;303;254;322;346;228;126
9790;9789;2237;22;2;213;2204;Crécy-sur-Serre;1464;1488;272;250;265;282;210;185;268;237;322;276;199;186
9964;9963;2070;22;2;216;2205;Bernot;453;444;95;66;87;98;61;46;92;63;89;99;61;40
10019;10018;2548;22;2;223;2203;La Neuville-lès-Dorengt;396;376;91;53;80;76;71;25;85;69;74;67;54;27
10282;10281;2004;22;2;219;2204;Agnicourt-et-Séchelles;205;189;42;28;32;56;22;26;40;30;37;37;27;17
10373;10372;2491;22;2;227;2204;Monceau-le-Neuf-et-Faucouzy;344;336;72;63;64;71;41;33;82;41;85;57;43;26
10476;10475;2740;22;2;234;2203;Thenailles;254;260;29;40;42;73;46;25;33;41;48;75;46;17
10514;10513;2054;22;2;204;2206;Bazoches-sur-Vesles;464;440;109;68;111;89;59;28;114;60;124;71;53;18
10802;10801;2689;22;2;219;2204;Saint-Pierremont;57;59;8;6;13;15;8;6;14;7;10;17;4;6
10808;10807;2818;22;2;207;2201;Villiers-Saint-Denis;1042;1017;192;131;181;240;185;114;173;169;200;250;137;89
10821;10820;2565;22;2;212;2204;OEuilly;281;259;61;43;65;62;31;19;53;51;61;53;28;13
10928;10927;2381;22;2;217;2203;Hirson;9365;9660;1853;1684;1567;1841;1425;995;1886;1813;1799;1978;1299;886
10964;10963;2160;22;2;226;2204;Chaourse;525;541;109;88;92;98;78;60;101;103;100;102;76;59
11071;11070;2503;22;2;225;2205;Mont-d'Origny;868;891;177;129;147;204;148;62;169;167;159;225;112;59
11185;11184;2651;22;2;214;2204;Rogécourt;93;80;20;15;20;17;16;6;13;9;15;25;12;5
11242;11241;2816;22;2;215;2201;Villers-sur-Fère;499;449;111;93;105;99;64;26;88;102;85;99;49;26
11355;11354;2726;22;2;229;2205;Sommette-Eaucourt;157;139;30;28;35;30;24;11;21;24;32;36;12;15
11467;11466;2725;22;2;205;2203;Sommeron;134;134;34;27;25;24;12;14;36;18;33;22;12;13
11468;11467;2614;22;2;233;2205;Pontru;284;302;69;46;52;71;30;18;86;43;70;48;34;20
11493;11492;2151;22;2;218;2204;Cerny-lès-Bucy;114;114;18;16;19;37;17;8;16;24;18;32;18;6
11525;11524;2749;22;2;222;56;Troësnes;239;230;65;37;62;42;23;10;63;36;63;36;22;10
11581;11580;2334;22;2;203;2205;Fresnoy-le-Grand;3087;2992;645;509;565;659;446;262;540;557;581;641;432;241
11595;11594;2540;22;2;208;2201;Nesles-la-Montagne;1228;1120;272;178;271;288;153;66;257;166;275;266;99;57
11689;11688;2796;22;2;222;56;Vichel-Nanteuil;91;93;22;16;20;18;10;5;28;9;18;24;6;8
11736;11735;2058;22;2;212;2204;Beaurieux;785;782;196;130;176;139;84;60;191;138;165;149;82;57
11765;11764;2643;22;2;235;2206;Ressons-le-Long;768;757;147;111;162;168;116;64;151;125;170;174;85;52
11819;11818;2595;22;2;210;2201;Passy-sur-Marne;156;149;35;29;36;28;13;15;27;28;41;20;21;12
11844;11843;2216;22;2;236;56;Corcy;315;309;58;48;66;98;32;13;64;53;73;81;24;14
11874;11873;2598;22;2;235;2206;Pernant;704;691;161;95;151;162;101;33;162;98;167;155;81;28
11948;11947;2690;22;2;230;2204;Sainte-Preuve;84;89;11;10;17;17;22;7;13;14;16;25;14;7
12128;12127;2662;22;2;222;56;Rozet-Saint-Albin;283;311;55;36;53;62;43;34;71;43;74;59;34;30
12180;12179;2800;22;2;210;2201;Viffort;334;280;72;54;74;76;40;17;51;44;63;71;35;16
